from,to,cost
721,445,0.79
542,480,2.575
770,702,0.9259999999999999
32,266,0.596
34,56,0.628
251,297,0.725
233,41,1.6130000000000002
680,129,0.596
449,555,3.909
871,763,1.1340000000000001
175,205,1.295
739,241,0.802
126,720,1.348
626,709,0.589
97,397,3.4210000000000003
222,734,0.309
101,273,1.445
408,295,0.897
509,697,0.721
391,576,4.126
506,822,1.6440000000000001
785,69,0.512
603,245,0.852
245,596,3.8510000000000004
35,841,0.8440000000000001
249,120,0.56
134,263,1.715
448,638,1.022
123,635,0.725
635,155,0.966
656,748,0.593
220,136,1.796
414,656,5.859
579,651,3.7260000000000004
20,395,0.402
511,20,0.772
880,108,0.58
574,743,0.76
573,152,1.031
793,72,2.219
446,793,0.8
562,446,1.631
317,679,0.47700000000000004
600,317,0.64
585,36,14.353
838,585,4.0760000000000005
838,14,0.831
812,19,0.598
863,591,2.504
863,792,1.88
601,787,1.9680000000000002
223,499,8.095
411,18,0.5489999999999999
727,773,0.774
178,407,1.786
247,114,2.929
247,605,2.435
705,619,0.319
146,198,0.5
552,602,0.965
210,862,1.023
702,643,0.934
801,239,0.634
686,721,0.5529999999999999
239,805,1.4869999999999999
654,554,0.7929999999999999
186,235,0.66
643,186,0.226
765,770,0.593
266,34,0.742
471,312,0.69
56,425,0.9329999999999999
577,269,0.385
604,251,1.032
128,389,0.802
297,755,0.631
844,393,0.522
41,566,0.733
341,844,1.594
731,341,0.6859999999999999
747,570,0.606
607,139,2.178
387,607,0.79
569,387,1.064
3,367,2.072
29,569,0.191
800,29,1.187
315,800,1.4169999999999998
637,315,0.626
137,780,0.599
429,819,0.9520000000000001
58,564,0.75
325,610,1.046
795,495,1.31
807,853,0.23800000000000002
118,472,0.805
853,177,0.772
177,99,0.08
99,287,1.31
287,672,1.125
300,704,0.33799999999999997
704,536,1.24
672,306,1.16
153,300,1.294
306,144,1.1540000000000001
51,153,1.172
144,847,1.609
440,51,1.3730000000000002
847,424,2.103
322,440,1.521
424,282,0.845
729,322,0.557
250,729,1.077
282,660,0.8140000000000001
191,250,1.016
874,83,1.238
636,191,0.29600000000000004
83,355,1.74
93,636,1.238
351,93,1.483
351,112,0.895
346,680,0.268
717,346,0.594
514,15,0.405
653,66,3.656
15,204,0.8009999999999999
204,288,1.159
830,227,0.207
706,126,0.272
572,830,0.272
720,783,1.1079999999999999
451,764,0.529
783,23,0.35
244,675,0.56
709,224,0.779
383,244,0.589
95,383,0.414
867,95,0.72
105,517,0.273
406,354,0.401
71,437,0.996
768,132,1.874
646,216,1.031
781,222,3.315
37,781,0.145
216,170,1.341
627,447,0.135
170,640,0.7829999999999999
586,627,1.359
640,620,0.8190000000000001
237,586,0.8009999999999999
620,501,1.6380000000000001
668,237,0.8170000000000001
501,4,0.256
845,668,1.621
253,845,3.924
683,852,2.716
513,710,0.192
818,513,0.7709999999999999
550,44,0.736
648,375,0.22399999999999998
375,408,0.64
697,101,0.882
295,676,0.866
821,228,0.6890000000000001
174,156,0.802
166,821,0.14400000000000002
181,166,0.64
124,181,0.24100000000000002
791,372,0.747
261,124,0.513
372,173,0.305
623,261,1.064
412,623,2.0869999999999997
454,412,2.614
299,657,2.855
138,454,2.474
657,581,0.593
581,391,0.884
822,138,4.345
339,506,0.578
280,320,0.7709999999999999
589,394,0.785
394,232,0.6559999999999999
61,782,0.8340000000000001
232,785,0.995
305,61,0.7559999999999999
381,149,0.344
762,722,0.889
726,762,0.29
149,701,0.598
687,726,0.6509999999999999
545,606,0.273
421,217,0.8190000000000001
606,368,0.929
368,362,0.7659999999999999
837,421,1.186
294,779,0.239
195,140,0.624
458,195,0.24
779,708,0.8340000000000001
708,659,0.20800000000000002
27,458,0.898
659,868,0.544
213,603,0.941
283,150,0.652
841,283,0.9079999999999999
523,35,1.235
468,688,0.336
519,28,2.052
688,751,0.7070000000000001
483,102,1.945
738,270,0.319
270,134,0.337
120,483,0.368
561,249,1.537
263,848,0.305
597,561,0.336
848,460,1.237
460,55,0.239
777,452,0.20800000000000002
55,206,1.492
113,777,1.347
206,516,0.368
516,448,0.978
57,130,0.7829999999999999
155,614,0.625
614,598,0.41700000000000004
363,655,1.746
117,103,1.235
655,345,4.065
255,117,2.484
172,255,0.562
345,220,0.593
748,369,1.88
136,286,1.444
714,349,0.8390000000000001
302,511,0.37
349,184,0.55
628,302,0.789
184,880,0.905
743,628,0.726
226,431,0.431
526,574,0.955
431,491,0.493
491,274,0.618
122,526,0.496
823,122,0.62
274,333,0.665
333,94,0.316
176,823,0.667
466,176,0.318
94,207,0.43
685,466,0.413
207,858,0.207
356,328,0.7959999999999999
441,470,0.787
453,356,0.456
520,856,0.7879999999999999
859,324,0.6629999999999999
236,276,0.66
84,385,0.34299999999999997
723,84,0.7879999999999999
386,723,1.03
152,505,0.578
430,866,1.475
73,488,1.235
285,318,0.48100000000000004
30,54,0.672
465,662,0.48
2,0,0.8170000000000001
116,427,0.623
114,496,0.792
42,537,0.64
277,419,0.562
831,618,1.671
490,277,1.3
618,500,1.574
365,490,1.7830000000000001
500,771,0.546
9,265,0.835
630,193,1.689
786,9,1.621
193,80,1.607
259,786,0.851
80,857,1.8419999999999999
167,332,1.0390000000000001
582,203,0.805
673,12,0.321
599,292,1.7890000000000001
732,582,0.225
203,209,0.307
12,733,0.37
68,91,0.679
594,371,2.715
524,599,1.412
499,430,1.9869999999999999
168,832,1.456
443,301,0.861
301,70,1.643
804,168,1.128
459,804,1.454
70,849,0.968
289,760,0.504
750,242,0.32299999999999995
835,727,0.547
18,833,10.729000000000001
773,772,0.9990000000000001
772,171,1.3330000000000002
171,303,0.9009999999999999
303,528,0.738
528,310,2.114
310,178,1.76
407,247,1.9580000000000002
525,438,8.827
39,359,1.6059999999999999
565,284,0.24
214,264,1.5
716,163,1.5130000000000001
667,664,0.965
619,799,0.561
481,647,3.622
96,185,1.8030000000000002
378,481,1.505
185,160,1.879
160,331,1.3030000000000002
6,146,1.16
761,649,0.446
649,473,0.557
133,62,0.972
602,90,0.978
836,187,2.205
164,319,2.318
88,164,0.14300000000000002
187,335,0.14300000000000002
335,754,2.015
827,88,1.7380000000000002
749,827,3.699
862,749,1.048
735,45,0.7759999999999999
670,194,2.263
694,77,0.382
571,197,1.0290000000000001
197,658,0.359
532,450,1.391
439,634,0.39
24,532,0.775
559,560,3.983
810,413,1.04
865,869,0.584
110,404,1.083
87,314,1.376
393,128,0.546
563,795,1.554
592,510,0.465
242,724,0.321
764,572,0.802
156,791,0.625
173,784,2.336
751,738,2.222
102,519,1.253
452,597,1.314
130,113,1.588
638,703,5.313
598,363,1.235
505,430,0.767
850,259,0.802
854,850,0.209
612,854,0.451
671,588,1.055
754,587,3.835
72,530,0.8320000000000001
695,7,1.495
311,695,1.864
462,836,0.24
21,531,2.9560000000000004
323,279,1.234
194,75,1.185
304,411,0.532
151,304,0.79
872,151,0.594
438,872,0.7240000000000001
587,877,1.655
286,579,2.611
369,172,0.882
797,406,0.272
11,24,0.6809999999999999
549,364,0.802
389,577,1.032
564,637,1.2229999999999999
780,429,0.535
674,58,0.7340000000000001
495,674,0.585
436,563,2.115
165,807,0.922
766,592,0.285
361,864,0.9359999999999999
851,280,5.792999999999999
558,27,0.324
376,663,1.756
290,750,0.828
724,133,0.977
90,761,0.47200000000000003
224,797,0.8270000000000001
826,60,1.365
435,489,1.21
60,109,4.113
512,435,1.3730000000000002
125,512,0.7070000000000001
639,97,0.976
699,768,0.307
734,71,4.0089999999999995
426,691,3.0460000000000003
26,508,0.722
873,527,0.7859999999999999
713,449,0.326
808,717,0.804
864,808,0.337
326,826,1.207
725,405,1.929
179,105,0.606
192,52,8.842
314,542,2.59
757,796,0.223
796,736,0.72
736,32,1.034
566,67,0.541
67,747,1.003
610,147,1.093
147,25,2.195
555,840,0.48200000000000004
162,568,1.909
568,739,0.92
814,344,4.592
344,494,10.337
82,731,0.609
199,82,1.006
472,104,1.27
536,118,1.93
763,621,5.17
474,871,0.8029999999999999
358,474,0.483
388,17,0.14400000000000002
205,388,1.466
64,492,1.8869999999999998
49,246,4.502
767,49,9.985
332,811,0.14300000000000002
475,730,0.48100000000000004
605,308,0.483
157,417,0.529
752,323,0.391
75,752,1.143
271,670,0.865
855,200,0.899
200,442,0.9329999999999999
650,68,3.427
196,673,0.885
533,196,0.306
229,392,0.532
486,229,0.305
350,26,0.593
135,350,0.319
65,63,0.20800000000000002
615,65,0.305
215,681,0.374
401,215,0.306
737,231,0.39899999999999997
231,373,0.35
81,774,0.687
209,131,0.599
190,188,0.304
188,229,5.2
188,467,0.578
527,106,0.304
106,309,0.914
252,556,0.29100000000000004
556,127,0.763
778,875,0.43200000000000005
875,493,0.35200000000000004
660,874,0.503
331,290,0.451
319,552,0.722
473,6,0.883
870,801,0.795
805,549,1.229
367,137,1.787
45,876,2.825
787,590,3.312
19,456,1.665
456,100,1.641
66,125,3.347
675,451,1.127
109,514,3.625
23,626,0.20800000000000002
487,825,1.433
825,863,0.436
792,652,0.342
535,812,1.871
712,601,0.415
876,535,4.595
590,398,0.838
398,879,0.496
879,608,1.821
784,299,2.242
218,212,1.885
212,5,0.857
5,541,1.276
541,820,1.943
820,272,0.355
272,327,1.999
327,89,1.837
89,85,1.984
78,455,0.31
455,225,3.783
560,546,0.488
546,348,1.486
348,98,4.337
664,111,2.252
14,487,1.198
815,713,1.5519999999999998
634,559,1.569
76,325,0.711
819,76,0.578
789,860,2.589
44,648,0.736
554,377,1.236
652,712,0.973
1,179,0.391
228,509,1.767
377,686,1.57
288,706,0.48100000000000004
425,604,0.384
269,471,0.872
480,757,0.757
235,654,7.281000000000001
354,851,0.851
608,21,1.242
279,735,2.005
309,252,0.402
63,135,1.091
681,615,0.941
127,778,0.503
373,401,0.607
493,81,0.863
225,11,1.6569999999999998
129,351,0.275
355,766,0.705
733,594,1.393
131,267,0.7879999999999999
611,533,0.789
392,611,0.79
267,190,0.741
508,486,0.7859999999999999
467,873,0.722
676,174,0.9470000000000001
852,550,0.705
273,818,1.912
